S_Aravind,5,0,2,1,0,0,0,1,0,4,10,1000.00,2.50
DJ_Willey,1,85,30,9,0,23,0,5,13,152,170,13.08,1.12
DJ_Willey,2,2,3,0,0,1,0,0,0,6,7,1000.00,1.17
DJ_Willey,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.17
DJ_Willey,4,12,16,7,0,1,0,3,3,39,52,17.33,1.33
DJ_Willey,5,13,24,2,0,8,0,4,4,51,84,21.00,1.65
GP_Swann,1,11,12,1,0,0,0,3,2,27,32,16.00,1.19
GP_Swann,2,80,85,12,3,10,0,6,12,196,194,16.17,0.99
GP_Swann,3,149,159,28,3,13,0,9,24,361,330,13.75,0.91
GP_Swann,4,77,107,18,0,11,0,12,14,225,259,18.50,1.15
GP_Swann,5,5,9,2,1,0,0,1,1,18,22,22.00,1.22
Saeed_Ajmal,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.22
Saeed_Ajmal,2,147,78,7,0,27,0,2,11,261,212,19.27,0.81
Saeed_Ajmal,3,116,102,20,2,25,0,8,10,273,296,29.60,1.08
Saeed_Ajmal,4,205,218,34,0,31,0,7,23,495,452,19.65,0.91
Saeed_Ajmal,5,179,156,33,3,29,0,28,50,428,515,10.30,1.20
MJ_Guptill,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.20
MJ_Guptill,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.20
MJ_Guptill,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.20
MJ_Guptill,4,3,1,0,0,1,0,1,0,6,11,1000.00,1.83
MJ_Guptill,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.83
NM_Odhiambo,1,8,3,0,0,1,0,0,0,12,7,1000.00,0.58
NM_Odhiambo,2,15,16,4,0,3,0,0,1,38,36,36.00,0.95
NM_Odhiambo,3,4,3,1,1,3,0,0,0,12,20,1000.00,1.67
NM_Odhiambo,4,0,0,0,0,0,0,0,0,0,0,1000.00,1.67
NM_Odhiambo,5,4,4,4,0,0,0,0,1,12,12,12.00,1.00
Abul_Hasan,1,2,1,0,0,2,0,1,0,6,15,1000.00,2.50
Abul_Hasan,2,0,0,0,0,0,0,0,0,0,0,1000.00,2.50
Abul_Hasan,3,4,0,1,0,1,0,0,0,6,6,1000.00,1.00
Abul_Hasan,4,9,6,2,1,5,0,1,2,24,39,19.50,1.62
Abul_Hasan,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.62
DL_Maddy,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.62
DL_Maddy,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.62
DL_Maddy,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.62
DL_Maddy,4,4,2,3,0,3,0,0,1,12,20,20.00,1.67
DL_Maddy,5,3,2,0,0,1,0,0,2,6,6,3.00,1.00
Sohaib_Maqsood,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.00
Sohaib_Maqsood,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.00
Sohaib_Maqsood,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.00
Sohaib_Maqsood,4,1,5,0,0,0,0,1,0,7,11,1000.00,1.57
Sohaib_Maqsood,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
MJ_McClenaghan,1,104,44,9,2,31,0,11,6,201,258,43.00,1.28
MJ_McClenaghan,2,56,32,5,0,16,0,2,6,111,118,19.67,1.06
MJ_McClenaghan,3,40,36,7,0,11,0,4,3,98,118,39.33,1.20
MJ_McClenaghan,4,32,49,6,0,8,0,4,5,99,117,23.40,1.18
MJ_McClenaghan,5,37,41,10,0,8,0,5,9,101,123,13.67,1.22
JW_Hastings,1,37,13,3,1,9,0,3,2,66,76,38.00,1.15
JW_Hastings,2,13,9,1,0,2,0,0,0,25,19,1000.00,0.76
JW_Hastings,3,4,3,0,0,0,0,0,0,7,3,1000.00,0.43
JW_Hastings,4,21,17,4,0,12,0,1,4,55,79,19.75,1.44
JW_Hastings,5,11,18,2,0,3,0,5,2,39,64,32.00,1.64
J_Little,1,9,3,1,0,0,0,0,0,13,5,1000.00,0.38
J_Little,2,0,0,0,0,0,0,0,0,0,0,1000.00,0.38
J_Little,3,0,0,0,0,0,0,0,0,0,0,1000.00,0.38
J_Little,4,0,4,1,0,1,0,0,0,6,10,1000.00,1.67
J_Little,5,3,2,1,0,1,0,0,0,7,8,1000.00,1.14
BJ_Hodge,1,4,5,0,0,3,0,0,1,12,17,17.00,1.42
BJ_Hodge,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.42
BJ_Hodge,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.42
BJ_Hodge,4,10,5,0,0,2,0,2,0,19,25,1000.00,1.32
BJ_Hodge,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.32
RM_West,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.32
RM_West,2,7,12,3,0,2,0,0,0,24,26,1000.00,1.08
RM_West,3,15,14,5,1,4,0,0,1,39,43,43.00,1.10
RM_West,4,16,19,4,2,1,0,2,1,44,49,49.00,1.11
RM_West,5,1,7,2,0,2,0,0,1,12,19,19.00,1.58
JDS_Neesham,1,5,0,0,0,1,0,0,1,6,4,4.00,0.67
JDS_Neesham,2,24,12,2,1,5,0,1,1,45,45,45.00,1.00
JDS_Neesham,3,9,15,3,0,3,0,1,2,31,39,19.50,1.26
JDS_Neesham,4,23,22,2,0,2,0,0,3,49,34,11.33,0.69
JDS_Neesham,5,26,28,9,0,7,0,5,5,75,104,20.80,1.39
Waqas_Khan,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.39
Waqas_Khan,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.39
Waqas_Khan,3,2,3,0,0,2,0,0,0,7,11,1000.00,1.57
Waqas_Khan,4,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
Waqas_Khan,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
DPMD_Jayawardene,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
DPMD_Jayawardene,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
DPMD_Jayawardene,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
DPMD_Jayawardene,4,0,0,0,0,0,0,0,0,0,0,1000.00,1.57
DPMD_Jayawardene,5,1,4,0,0,1,0,0,0,6,8,1000.00,1.33
MA_Parker,1,8,2,0,0,4,0,0,1,14,18,18.00,1.29
MA_Parker,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.29
MA_Parker,3,0,0,0,0,0,0,0,0,0,0,1000.00,1.29
MA_Parker,4,3,2,0,0,1,0,0,0,6,6,1000.00,1.00
MA_Parker,5,0,4,1,0,1,0,0,0,6,10,1000.00,1.67
Aizaz_Khan,1,1,3,1,0,1,0,0,1,6,9,9.00,1.50
Aizaz_Khan,2,56,31,6,0,10,0,3,5,106,101,20.20,0.95
Aizaz_Khan,3,54,45,3,1,6,0,0,9,109,78,8.67,0.72
Aizaz_Khan,4,34,34,4,0,7,0,2,3,81,82,27.33,1.01
Aizaz_Khan,5,29,37,7,1,10,0,10,8,94,154,19.25,1.64
TM_Head,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.64
TM_Head,2,0,0,0,0,0,0,0,0,0,0,1000.00,1.64
TM_Head,3,1,3,1,0,1,0,0,0,6,9,1000.00,1.50
TM_Head,4,0,0,0,0,0,0,0,0,0,0,1000.00,1.50
TM_Head,5,0,0,0,0,0,0,0,0,0,0,1000.00,1.50
M_Morkel,1,141,55,11,4,31,0,4,11,246,237,21.55,0.96
M_Morkel,2,91,51,11,1,28,0,6,9,188,224,24.89,1.19
M_Morkel,3,56,38,5,0,8,0,5,7,112,110,15.71,0.98
M_Morkel,4,63,31,6,0,11,0,4,9,115,111,12.33,0.97
M_Morkel,5,92,76,14,1,25,0,13,16,221,285,17.81,1.29
A_Dananjaya,1,0,0,0,0,0,0,0,0,0,0,1000.00,1.29
A_Dananjaya,2,5,5,0,0,1,0,1,1,12,15,15.00,1.25
A_Dananjaya,3,18,22,4,0,1,0,3,3,48,52,17.33,1.08
A_Dananjaya,4,5,7,4,0,1,0,1,2,18,25,12.50,1.39
A_Dananjaya,5,3,3,0,0,0,0,0,1,6,3,3.00,0.50
